Country Name,Country Code,1990,2005,2017,2020,2021
Aruba,ABW,65712,94483,105439,106585,106537
Africa Eastern and Southern,AFE,309890664,457153837,632746570,685112979,702977106
Afghanistan,AFG,10694796,24411191,35643418,38972230,40099462
Africa Western and Central,AFW,206739024,309824829,431138704,466189102,478185907
Angola,AGO,11828638,19450959,30208628,33428486,34503774
Albania,ALB,3286542,3011487,2873457,2837849,2811666
Andorra,AND,53569,79826,73837,77700,79034
Arab World,ARB,225923327,320558754,423664839,449228296,456520777
United Arab Emirates,ARE,1900151,4280993,9068296,9287289,9365145
Argentina,ARG,32637657,39070501,44044811,45376763,45808747
Armenia,ARM,3556539,3047246,2851923,2805608,2790974
American Samoa,ASM,47818,57254,49463,46189,45035
Antigua and Barbuda,ATG,63328,79869,91119,92664,93219
Australia,AUS,17065128,20176844,24592588,25649248,25685412
Austria,AUT,7677850,8227829,8797566,8916864,8955797
Azerbaijan,AZE,7175200,8391850,9854033,10093121,10137750
Burundi,BDI,5483793,7388874,11155593,12220227,12551213
Belgium,BEL,9967379,10478617,11375158,11538604,11586195
Benin,BEN,5133419,8149419,11596779,12643123,12996895
Burkina Faso,BFA,9131361,13876127,19835858,21522626,22100683
Bangladesh,BGD,107147651,140912590,161793964,167420951,169356251
Bulgaria,BGR,8718289,7658972,7075947,6934015,6877743
Bahrain,BHR,517418,901921,1456834,1477469,1463265
"Bahamas, The",BHS,270679,347804,399020,406471,407906
Bosnia and Herzegovina,BIH,4494310,4094297,3440027,3318407,3270943
Belarus,BLR,10189348,9663915,9458989,9379952,9302585
Belize,BLZ,182589,280375,374693,394921,400031
Bermuda,BMU,59326,64154,63873,63893,63764
Bolivia,BOL,7096194,9377388,11435533,11936162,12079472
Brazil,BRA,150706446,186797334,208504960,213196304,214326223
Barbados,BRB,258868,269477,279187,280693,281200
Brunei Darussalam,BRN,261928,366717,430276,441725,445373
Bhutan,BTN,558442,663323,756121,772506,777486
Botswana,BWA,1341474,1892807,2401840,2546402,2588423
Central African Republic,CAF,2809221,4208834,4996741,5343020,5457154
Canada,CAN,27691138,32243753,36545236,38007166,38226498
Central Europe and the Baltics,CEB,110743128,106041911,102740078,102180124,101413176
Switzerland,CHE,6715519,7437115,8451840,8638167,8704546
Channel Islands,CHI,140601,150763,165215,171113,172683
Chile,CHL,13342868,16175311,18368577,19300315,19493184
China,CHN,1135185000,1303720000,1396215000,1411100000,1412360000
Cote d'Ivoire,CIV,11910540,18970215,24848016,26811790,27478249
Cameroon,CMR,11430520,17275171,24393181,26491087,27198628
"Congo, Dem. Rep.",COD,35987541,56550247,84283273,92853164,95894118
"Congo, Rep.",COG,2385435,3672839,5312340,5702174,5835806
Colombia,COL,32601393,42220940,48351671,50930662,51516562
Comoros,COM,431119,592683,761664,806166,821625
Cabo Verde,CPV,364563,492827,564954,582640,587925
Costa Rica,CRI,3158253,4315887,4993842,5123105,5153957
Caribbean small states,CSS,6057836,6802474,7303634,7444768,7481877
Cuba,CUB,10626680,11246114,11336405,11300698,11256372
Curacao,CUW,145400,137658,160175,154947,152369
Cayman Islands,CYM,26027,46727,63581,67311,68136
Cyprus,CYP,788500,1037062,1208523,1237537,1244188
Czechia,CZE,10333355,10211216,10594438,10697858,10505772
Germany,DEU,79433029,82469422,82657002,83160871,83196078
Djibouti,DJI,577173,830861,1040233,1090156,1105557
Dominica,DMA,69481,68674,70403,71995,72412
Denmark,DNK,5140939,5419432,5764980,5831404,5856733
Dominican Republic,DOM,7129004,9164768,10647244,10999664,11117873
Algeria,DZA,25518074,32956690,41136546,43451666,44177969
East Asia & Pacific (excluding high income),EAP,1601237332,1896788261,2080919319,2116378687,2123628421
Early-demographic dividend,EAR,2041043553,2725013738,3250752755,3374383528,3411268373
East Asia & Pacific,EAS,1818247576,2132517760,2327132966,2363934334,2370189840
Europe & Central Asia (excluding high income),ECA,361859039,372077135,394705361,400061023,401682855
Europe & Central Asia,ECS,842030509,872913705,914078289,922353365,923564027
Ecuador,ECU,10449837,13770012,16696944,17588595,17797737
"Egypt, Arab Rep.",EGY,57214630,79075310,101789386,107465134,109262178
Euro area,EMU,311093477,329398861,341246081,342913447,343063979
Eritrea,ERI,2149960,2831732,3396933,3555868,3620312
Spain,ESP,38867322,43653155,46593236,47365655,47415794
Estonia,EST,1569174,1354775,1317384,1329522,1330932
Ethiopia,ETH,47878073,77469940,108197950,117190911,120283026
European Union,EUU,420308868,435600393,446215182,447692315,447178112
Fragile and conflict affected situations,FCS,483047361,690401342,916427867,979763631,1001844479
Finland,FIN,4986431,5246096,5508214,5529543,5541017
Fiji,FJI,780430,874923,919019,920422,924610
France,FRA,58044701,63188395,66918020,67571107,67764304
Faroe Islands,FRO,47479,48291,50230,52415,52889
"Micronesia, Fed. Sts.",FSM,98603,110940,110430,112106,113131
Gabon,GAB,983028,1458353,2140215,2292573,2341179
United Kingdom,GBR,57247586,60401206,66058859,67081234,67026292
Georgia,GEO,4802000,3902469,3728004,3722716,3708610
Ghana,GHA,15446982,22496951,30222262,32180401,32833031
Gibraltar,GIB,27317,29155,32602,32709,32669
Guinea,GIN,6354145,9140114,12240789,13205153,13531906
"Gambia, The",GMB,1040616,1660368,2381182,2573995,2639916
Guinea-Bissau,GNB,973551,1379713,1879826,2015828,2060721
Equatorial Guinea,GNQ,465549,864726,1450694,1596049,1634466
Greece,GRC,10196792,10987314,10754679,10698599,10569207
Grenada,GRD,99047,110254,120921,123663,124610
Greenland,GRL,55600,56935,56172,56367,56653
Guatemala,GTM,9050115,12948292,16087418,16858333,17109746
Guam,GUM,138263,164430,168606,169231,170534
Guyana,GUY,747116,759709,763252,797202,804567
High income,HIC,1027500717,1136981371,1225544265,1241718902,1241268556
"Hong Kong SAR, China",HKG,5704500,6813200,7393200,7481000,7413100
Honduras,HND,5053234,7564613,9626842,10121763,10278345
Heavily indebted poor countries (HIPC),HPC,358121820,547936900,770390212,838066650,861156745
Croatia,HRV,4777368,4310145,4124531,4047680,3879000
Haiti,HTI,6925331,9111900,10863543,11306801,11447569
Hungary,HUN,10373988,10087065,9787966,9750149,9709891
IBRD only,IBD,3454425770,4208938572,4753252242,4867091692,4895372787
IDA & IBRD total,IBT,4319686835,5465994258,6399653365,6627317499,6695487825
IDA total,IDA,865261065,1257055686,1646401123,1760225807,1800115038
IDA blend,IDB,284421830,419337831,547984961,582637127,595016031
Indonesia,IDN,182159874,228805144,264498852,271857970,273753191
IDA only,IDX,580839235,837717855,1098416162,1177588680,1205099007
Isle of Man,IMN,68865,79415,83580,84046,84263
India,IND,870452165,1154638713,1354195680,1396387127,1407563842
Not classified,INX,,,,,
Ireland,IRL,3513974,4159914,4807388,4985382,5033164
"Iran, Islamic Rep.",IRN,55793629,70182594,84505076,87290193,87923432
Iraq,IRQ,17658381,28698684,39621162,42556984,43533592
Iceland,ISL,254826,296734,343400,366463,372520
Israel,ISR,4660000,6930100,8713300,9215100,9371400
Italy,ITA,56719240,57969484,60536709,59438851,59133173
Jamaica,JAM,2392030,2676863,2808376,2820436,2827695
Jordan,JOR,3480587,5678534,10215381,10928721,11148278
Japan,JPN,123478000,127773000,126972000,126261000,125681593
Kazakhstan,KAZ,16348000,15147029,18037776,18755666,19000988
Kenya,KEN,23162269,35843010,48948137,51985780,53005614
Kyrgyz Republic,KGZ,4391200,5162600,6198200,6579900,6773400
Cambodia,KHM,8910808,13246583,15830689,16396860,16589023
Kiribati,KIR,75124,98164,120362,126463,128874
St. Kitts and Nevis,KNA,40636,46725,47785,47642,47606
"Korea, Rep.",KOR,42869283,48184561,51361911,51836239,51744876
Kuwait,KWT,1674938,2235403,4124904,4360444,4250114
Latin America & Caribbean (excluding high income),LAC,396328556,500076606,570381211,588011178,592503434
Lao PDR,LAO,4314443,5852970,6997917,7319399,7425057
Lebanon,LBN,3593700,4643044,6109252,5662923,5592631
Liberia,LBR,2209731,3266318,4796631,5087584,5193416
Libya,LBY,4236983,5837986,6378261,6653942,6735277
St. Lucia,LCA,142301,165386,177163,179237,179651
Latin America & Caribbean,LCN,441597528,556739532,633797190,650534986,654980630
Least developed countries: UN classification,LDC,513968735,749852827,999288864,1073743450,1099568566
Low income,LIC,288759638,441886612,613946858,667053670,685250041
Liechtenstein,LIE,28765,34603,37889,38756,39039
Sri Lanka,LKA,17204094,19673866,21506813,21919000,22156000
Lower middle income,LMC,1844475984,2471959522,2990172548,3117225754,3157462375
Low & middle income,LMY,4246144171,5389050292,6320334263,6549996251,6618837270
Lesotho,LSO,1798997,1977424,2170617,2254100,2281454
Late-demographic dividend,LTE,1847821462,2114895075,2286627723,2317277554,2322606486
Lithuania,LTU,3697838,3322528,2828403,2794885,2800839
Luxembourg,LUX,381850,465158,596336,630419,640064
Latvia,LVA,2663151,2238799,1942248,1900449,1884490
"Macao SAR, China",MAC,350227,488619,638609,676283,686607
St. Martin (French part),MAF,28127,33452,34496,32553,31948
Morocco,MAR,24570814,30431902,35528115,36688772,37076584
Monaco,MCO,30329,32141,37044,36922,36686
Moldova,MDA,2965978,2888985,2755189,2635130,2595809
Madagascar,MDG,11882762,18792171,26169542,28225177,28915653
Maldives,MDV,224957,307018,472442,514438,521457
Middle East & North Africa,MEA,256203998,354462370,456885486,479966649,486174763
Mexico,MEX,81720428,105442402,122839258,125998302,126705138
Marshall Islands,MHL,46047,54337,47187,43413,42050
Middle income,MIC,3957384533,4947163680,5706387405,5882942581,5933587229
North Macedonia,MKD,2044174,2036855,2074502,2072531,2065092
Mali,MLI,8945026,13180551,19311355,21224040,21904983
Malta,MLT,354170,403834,467999,515332,518536
Myanmar,MMR,40099553,47724471,52288341,53423198,53798084
Middle East & North Africa (excluding high income),MNA,228846359,311948573,391607422,411810124,418047201
Montenegro,MNE,606372,614261,622373,621306,619211
Mongolia,MNG,2161433,2559255,3096030,3294335,3347782
Northern Mariana Islands,MNP,48002,69025,50729,49587,49481
Mozambique,MOZ,13303459,20211114,28569441,31178239,32077072
Mauritania,MRT,2006027,3012360,4160015,4498604,4614974
Mauritius,MUS,1058775,1228254,1264887,1266014,1266334
Malawi,MWI,9539665,12755648,17881167,19377061,19889742
Malaysia,MYS,17517054,25923536,31975806,33199993,33573874
North America,NAC,277373464,327824506,361731237,369582571,370321816
Namibia,NAM,1369011,1962865,2364534,2489098,2530151
New Caledonia,NCL,170899,232250,270810,271080,270390
Niger,NER,8370648,13855221,21737922,24333639,25252722
Nigeria,NGA,95214257,140490722,193495907,208327405,213401323
Nicaragua,NIC,4227820,5454678,6480532,6755895,6850540
Netherlands,NLD,14951510,16319868,17131296,17441500,17533044
Norway,NOR,4241473,4623291,5276968,5379475,5408320
Nepal,NPL,19616530,26285110,28183426,29348627,30034989
Nauru,NRU,9598,10318,11682,12315,12511
New Zealand,NZL,3329800,4133900,4813600,5090200,5111400
OECD members,OED,1104791543,1245447053,1346867343,1369465369,1371917156
Oman,OMN,1804524,2515192,4541854,4543399,4520471
Other small states,OSS,17806417,23450481,30940313,32381464,32708277
Pakistan,PAK,115414069,174372098,216379655,227196741,231402117
Panama,PAN,2449968,3305868,4096063,4294396,4351267
Peru,PER,22109099,28147267,31605486,33304756,33715471
Philippines,PHL,61558898,86261250,106738501,112190977,113880328
Palau,PLW,15293,19831,17837,17972,18024
Papua New Guinea,PNG,3864972,6498818,9114796,9749640,9949437
Poland,POL,38110782,38165445,37974826,37899070,37747124
Pre-demographic dividend,PRE,417144782,640493810,905987912,984213438,1011043183
Puerto Rico,PRI,3537000,3821362,3325286,3281557,3262693
"Korea, Dem. People's Rep.",PRK,20799523,24100982,25516321,25867467,25971909
Portugal,PRT,9983218,10503330,10300300,10297081,10361831
Paraguay,PRY,4059195,5476878,6355404,6618695,6703799
West Bank and Gaza,PSE,1978248,3320396,4454805,4803269,4922749
Pacific island small states,PSS,1776243,2172802,2484263,2566819,2602173
Post-demographic dividend,PST,964048985,1046468599,1106212920,1117418072,1116569892
French Polynesia,PYF,211089,271060,295450,301920,304032
Qatar,QAT,441675,848710,2711755,2760385,2688235
Romania,ROU,23201835,21319685,19588715,19265250,19122059
Russian Federation,RUS,147969407,143518814,144496739,144073139,144130482
Rwanda,RWA,7319962,9026299,12230339,13146362,13461888
South Asia,SAS,1141312704,1541263909,1818931519,1882531620,1901911604
Saudi Arabia,SAU,16004763,24397644,34193122,35997107,35950396
Sudan,SDN,21090886,29540577,40679828,44440486,45657202
Senegal,SEN,7536001,10974057,15157793,16436120,16876720
Singapore,SGP,3047132,4265762,5612253,5685807,5453566
Solomon Islands,SLB,324171,482486,643634,691191,707851
Sierra Leone,SLE,4325388,5683334,7677565,8233970,8420641
El Salvador,SLV,5367179,6037817,6266654,6292731,6314167
San Marino,SMR,23132,29508,34056,34007,33745
Somalia,SOM,6999096,10467292,14864221,16537016,17065581
Serbia,SRB,7586000,7440769,7020858,6899126,6834326
Sub-Saharan Africa (excluding high income),SSA,516560181,766895808,1063789431,1151203619,1181063755
South Sudan,SSD,4750817,7662654,10658226,10606227,10748272
Sub-Saharan Africa,SSF,516629688,766978666,1063885274,1151302081,1181163013
Small states,SST,25640496,32425757,40728210,42393051,42792327
Sao Tome and Principe,STP,120343,161680,208036,218641,223107
Suriname,SUR,412756,516220,587559,607065,612985
Slovak Republic,SVK,5299187,5372807,5439232,5458827,5447247
Slovenia,SVN,1998161,2000474,2066388,2102419,2108079
Sweden,SWE,8558835,9029572,10057698,10353442,10415811
Eswatini,SWZ,854011,1071886,1151390,1180655,1192271
Sint Maarten (Dutch part),SXM,27845,33011,40574,42310,42668
Seychelles,SYC,69507,82858,95843,98462,99258
Syrian Arab Republic,SYR,12408996,18583557,18983373,20772595,21324367
Turks and Caicos Islands,TCA,11709,23995,39844,44276,45114
Chad,TCD,5827069,10005012,15085884,16644701,17179740
East Asia & Pacific (IDA & IBRD countries),TEA,1580447407,1872697597,2055414680,2090523535,2097669023
Europe & Central Asia (IDA & IBRD countries),TEC,427949024,435872410,456393433,461273023,462431038
Togo,TGO,3875947,5711597,7852795,8442580,8644829
Thailand,THA,55228410,65821360,70898202,71475664,71601103
Tajikistan,TJK,5417860,6929145,8925525,9543207,9750064
Turkmenistan,TKM,3720278,4885775,5968383,6250438,6341855
Latin America & the Caribbean (IDA & IBRD countries),TLA,426479901,540553499,617875842,634680385,639188695
Timor-Leste,TLS,758106,969313,1243235,1299995,1320942
Middle East & North Africa (IDA & IBRD countries),TMN,226868111,308628177,387152617,407006855,413124452
Tonga,TON,98727,105633,105415,105254,106017
South Asia (IDA & IBRD),TSA,1141312704,1541263909,1818931519,1882531620,1901911604
Sub-Saharan Africa (IDA & IBRD countries),TSS,516629688,766978666,1063885274,1151302081,1181163013
Trinidad and Tobago,TTO,1266518,1369075,1478607,1518147,1525663
Tunisia,TUN,8440023,10388344,11811443,12161723,12262946
Turkiye,TUR,54324142,68704715,80312698,83384680,84147318
Tuvalu,TUV,9182,9912,10828,11069,11204
Tanzania,TZA,26206012,39439505,56267032,61704518,63588334
Uganda,UGA,17586630,27946588,40127085,44404611,45853778
Ukraine,UKR,51891400,47105171,44831135,44132049,43822901
Upper middle income,UMC,2112908549,2475204158,2716214857,2765716827,2776124854
Uruguay,URY,3117012,3317665,3422200,3429086,3426260
United States,USA,249623000,295516599,325122128,331511512,332031554
Uzbekistan,UZB,20510000,26167000,32388600,34232050,34915100
St. Vincent and the Grenadines,VCT,112487,112043,105549,104632,104332
"Venezuela, RB",VEN,19750579,26668785,30563433,28490453,28199867
British Virgin Islands,VGB,15617,23497,30060,30910,31122
Virgin Islands (U.S.),VIR,103963,108453,107281,106290,105870
Viet Nam,VNM,66912613,83142095,94033048,96648685,97468029
Vanuatu,VUT,150882,217632,290239,311685,319137
World,WLD,5293395467,6552700448,7576441961,7820205606,7888305693
Samoa,WSM,168186,188626,207630,214929,218764
Kosovo,XKX,1862000,1705780,1791003,1790133,1786038
"Yemen, Rep.",YEM,13375121,21320671,30034389,32284046,32981641
South Africa,ZAF,39877570,49017147,56641209,58801927,59392255
Zambia,ZMB,7686401,11564870,17298054,18927715,19473125
Zimbabwe,ZWE,10113893,12224753,14751101,15669666,15993524